epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,272.06,0.29986,0.44157,0.87592,0.99529,1,0.995,0.97396,0.26094,0.33931,0.76746,0.00035382,0.00035382,0.00035382
78,275.694,0.33312,0.48654,0.88376,0.99514,1,0.995,0.97284,0.26045,0.33697,0.76734,0.000339673,0.000339673,0.000339673
79,279.29,0.30122,0.43915,0.86506,0.99554,1,0.995,0.97328,0.24217,0.33829,0.76481,0.000325526,0.000325526,0.000325526
80,282.884,0.29533,0.45055,0.85583,0.99503,1,0.995,0.97509,0.23487,0.34086,0.76295,0.000311379,0.000311379,0.000311379
81,286.54,0.30078,0.44,0.86682,0.99562,1,0.995,0.98231,0.23579,0.34418,0.76311,0.000297232,0.000297232,0.000297232
82,290.156,0.30102,0.43243,0.88378,0.99562,1,0.995,0.98231,0.23579,0.34418,0.76311,0.000283085,0.000283085,0.000283085
83,293.71,0.30427,0.43453,0.86256,0.99575,1,0.995,0.98255,0.2288,0.33485,0.76336,0.000268938,0.000268938,0.000268938
84,297.206,0.30036,0.43672,0.87608,0.99561,1,0.995,0.98303,0.2292,0.33176,0.76683,0.000254791,0.000254791,0.000254791
85,300.789,0.26933,0.42553,0.85794,0.99475,1,0.995,0.97978,0.22983,0.32868,0.76855,0.000240644,0.000240644,0.000240644
86,304.423,0.30893,0.43447,0.86982,0.99337,1,0.995,0.97994,0.22334,0.32802,0.77056,0.000226497,0.000226497,0.000226497
87,308.041,0.27682,0.42063,0.853,0.9934,1,0.995,0.98207,0.2234,0.33242,0.76991,0.000212349,0.000212349,0.000212349
88,311.604,0.27345,0.41197,0.86975,0.99273,1,0.995,0.98491,0.22877,0.33328,0.76859,0.000198202,0.000198202,0.000198202
89,315.127,0.26498,0.40736,0.85166,0.99311,1,0.995,0.98697,0.22935,0.32639,0.76777,0.000184055,0.000184055,0.000184055
90,318.661,0.27788,0.41988,0.85768,0.99414,1,0.995,0.98713,0.23134,0.32621,0.76587,0.000169908,0.000169908,0.000169908
